Id,Prediction
1,0
2,1
3,1
4,1
5,1
6,0
7,1
8,1
9,1
10,0
11,1
12,0
13,0
14,0
15,0
16,1
17,0
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,1
54,0
55,0
56,1
57,1
58,0
59,0
60,1
61,1
62,0
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,0
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,0
95,0
96,1
97,0
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,0
117,0
118,0
119,1
120,1
121,1
122,0
123,1
124,1
125,1
126,0
127,0
128,0
129,1
130,0
131,1
132,0
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,0
151,1
152,1
153,1
154,1
155,1
156,0
157,0
158,1
159,0
160,0
161,0
162,0
163,0
164,1
165,1
166,1
167,1
168,0
169,1
170,1
171,0
172,1
173,1
174,0
175,1
176,0
177,1
178,1
179,0
180,0
181,1
182,1
183,0
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,0
199,1
200,1
