Id,Ano,Numero_Accidente,Provincia,Mes,Dia,Hora,Dia_Semana,Tipo_Dia,Vehiculos_Implicados,Carretera,Pk,Km,Hm,Sentido,Zona,Tipo_Via,Anchura_Calzada,Anchura_Carril,Marcas_Viales,Arcen,Arcen_Pavimentado,Mediana,Barrera_Seguridad,Paneles_Direccionales,Hitos_Arista,Captafaros,Interseccion_Tipo,Interseccion_Acondicionamiento,Prioridad_Regulada_por,Superficie,Luminosidad,Factores_Atmosfericos,Visibilidad_Restringida_por,Otras_Circunstancias,Senalizacion_Peligro,Aceras,Arboles,Arboles_Metros_Calzada,Visibilidad_Senalizacion_Vertical,Colision_Vehiculos_Marcha,Colision_Vehiculo_Obstaculo_1,Colision_Vehiculo_Obstaculo_2,Atropello_1,Atropello_2,Vuelco_1,Vuelco_2,Salida_Sin_Colision,Salida_Con_Colision,Lado_Salida,Otro,Circulacion,Circulacion_Medidas_Especiales,Distraccion,Inexperiencia_Conductor,Alcohol_Drogas,Cansancio_Sueno,Enfermedad,Velocidad_Inadecuada,Infraccion_Norma_Circulacion,Estado_Condicion_Via,Estado_Condicion_Senalizacion,Tramo_Obras,Mal_Estado_Vehiculo,Averia_Mecanica,Meteorologia_Adversa,Irrupcion_Animal,Circular_Sentido_Contrario,Otro_Factor,Sin_Opinion_Definida,Pendiente,Curvatura,Peralte,GPS_x,GPS_y,GPS_z,Tipo_Est,IMD,Hora_Real,Fuera_o_Interseccion
19390,6,2010460001350,3,3,8,4,1,1,1,CV-40,11.3,11,3,0,1,2,3,2,3,4,2,2,2,1,2,2,7,7,8,3,1,4,9,14,3,1,1,NaN,1,NaN,30,30,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,710356.031,4310365.159,297.821,Cob,20131,11,1
2578,2,2006030001285,1,4,17,6,1,3,2,CV-91,16.6,16,6,0,1,5,3,2,3,3,2,1,2,1,2,1,7,7,8,3,2,5,9,14,3,1,3,NaN,2,NaN,NaN,,NaN,,NaN,,NaN,54,50,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,696793.282,4219296.069,-19.324,Cob,9692,19,2
15079,5,2009030001225,1,5,31,6,7,3,1,CV-925,1.3,1,3,1,1,5,2,3,3,1,2,1,1,2,1,1,7,7,8,3,1,1,9,14,1,1,1,NaN,2,NaN,NaN,,NaN,,NaN,,66,NaN,60,NaN,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,692749.716,4194745.009,40.478,Cob,2107,18,5
13183,4,2008460001803,3,2,29,4,5,1,2,CV-50,0,0,0,1,1,5,2,2,3,3,2,1,1,1,1,1,7,7,8,1,1,1,9,14,2,1,3,NaN,1,2,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,707032.907,4388850.468,126.175,Cob,17044,11,1
3728,2,2006030003896,1,12,18,5,1,4,1,CV-734,0.1,0,1,1,1,5,2,3,3,3,2,1,1,2,1,2,7,7,5,1,1,1,9,14,1,1,3,NaN,2,NaN,NaN,,NaN,,NaN,,NaN,54,50,NaN,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,773867.451,4297325.567,-1.938,Sec,12709,16,5
9842,3,2007460004265,3,6,4,5,1,4,2,CV-365,2.4,2,4,0,1,5,3,2,3,4,2,2,2,1,2,2,4,1,8,1,1,1,9,14,3,1,1,NaN,2,3,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,719566.091,4376852.011,62.288,Sec,40056,15,6
5888,2,2006460008360,3,9,26,5,2,1,2,CV-50,10.9,10,9,1,1,5,3,2,3,2,2,1,1,1,2,1,1,1,8,1,1,1,9,14,3,1,3,NaN,2,4,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,702570.832,4379583.119,133.118,Cob,12744,16,6
13892,4,2008460005335,3,8,6,4,3,1,1,CV-610,15,15,0,0,1,5,1,3,3,1,2,1,1,1,1,1,7,7,8,1,1,1,9,14,1,1,3,NaN,2,NaN,NaN,,NaN,,NaN,,NaN,64,60,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,726619.417,4314035.393,217.635,Cob,3247,12,1
16473,5,2009460000180,3,1,7,4,3,4,2,CV-410,4,4,0,0,1,5,3,2,3,3,2,1,1,1,2,2,5,1,4,1,1,1,9,14,1,1,3,NaN,2,3,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,717357.644,4372352.465,36.388,Pri,27477,13,6
17417,5,2009460004918,3,8,25,6,2,1,1,CV-50,51.8,51,8,1,1,5,2,2,3,2,2,1,1,1,1,1,7,7,8,1,5,1,9,14,1,1,1,NaN,2,NaN,NaN,,NaN,,NaN,,66,NaN,60,NaN,1,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,709134.312,4350482.774,84.072,Cob,1016,22,4
18931,6,2010120000812,2,4,30,5,5,2,1,CV-14,18.6,18,6,1,1,5,3,3,3,3,2,1,2,1,2,1,7,7,8,1,1,1,9,14,1,1,3,NaN,2,NaN,NaN,,NaN,,NaN,,NaN,64,60,NaN,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,737866.64,4507073.041,673.719,Pri,645,16,4
13861,4,2008460005037,3,7,12,4,6,3,2,CV-410,4,4,0,0,1,5,3,2,3,3,2,1,2,1,2,2,5,1,8,1,1,1,9,14,3,1,1,NaN,2,3,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,717332.473,4372266.354,36.033,Pri,30175,14,6
